Jahr,Faechergruppe,Geschlecht,Wert
2020-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",männlich,832.0
2021-01-01T00:00:00.000Z,Veterinärmedizin,weiblich,
2023-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",weiblich,1509.0
2022-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,weiblich,1445.0
2021-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",weiblich,386.0
2022-01-01T00:00:00.000Z,Ingenieurwissenschaften,weiblich,2046.0
2023-01-01T00:00:00.000Z,Geisteswissenschaften,männlich,2728.0
2021-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",männlich,5096.0
2020-01-01T00:00:00.000Z,Geisteswissenschaften,männlich,2809.0
2019-01-01T00:00:00.000Z,Geisteswissenschaften,männlich,2854.0
2019-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",männlich,5170.0
2021-01-01T00:00:00.000Z,Ingenieurwissenschaften,männlich,10970.0
2019-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),weiblich,176.0
2019-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",männlich,
2021-01-01T00:00:00.000Z,Sport,männlich,212.0
2022-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),weiblich,10.0
2020-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),weiblich,6.0
2020-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",männlich,
2020-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),männlich,427.0
2022-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",weiblich,
2023-01-01T00:00:00.000Z,Sport,männlich,220.0
2022-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),männlich,444.0
2023-01-01T00:00:00.000Z,Veterinärmedizin,weiblich,
2021-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),männlich,435.0
2020-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,weiblich,1208.0
2021-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",weiblich,1412.0
2023-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),männlich,446.0
2019-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",männlich,2445.0
2021-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",männlich,10161.0
2021-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),weiblich,196.0
2019-01-01T00:00:00.000Z,Veterinärmedizin,männlich,
2022-01-01T00:00:00.000Z,Sport,weiblich,85.0
2019-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",weiblich,1320.0
2023-01-01T00:00:00.000Z,Sport,weiblich,85.0
2021-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),männlich,43.0
2020-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),männlich,30.0
2023-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",männlich,10311.0
2021-01-01T00:00:00.000Z,Geisteswissenschaften,weiblich,1967.0
2020-01-01T00:00:00.000Z,Geisteswissenschaften,weiblich,1884.0
2020-01-01T00:00:00.000Z,Veterinärmedizin,männlich,
2019-01-01T00:00:00.000Z,Ingenieurwissenschaften,weiblich,1706.0
2021-01-01T00:00:00.000Z,Ingenieurwissenschaften,weiblich,1912.0
2022-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),männlich,39.0
2023-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),männlich,39.0
2023-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",männlich,796.0
2019-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",männlich,9969.0
2023-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",weiblich,5427.0
2019-01-01T00:00:00.000Z,Ingenieurwissenschaften,männlich,10829.0
2021-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",weiblich,1392.0
2019-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,männlich,3344.0
2022-01-01T00:00:00.000Z,Veterinärmedizin,weiblich,
2022-01-01T00:00:00.000Z,Ingenieurwissenschaften,männlich,11099.0
2023-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,weiblich,1508.0
2023-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",männlich,2461.0
2020-01-01T00:00:00.000Z,Sport,männlich,206.0
2019-01-01T00:00:00.000Z,Sport,weiblich,73.0
2020-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",weiblich,4743.0
2019-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",männlich,837.0
2019-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",weiblich,1286.0
