Jahr,Bundesland,Hochschulart,Faechergruppe,Wert_EUR
2021-01-01T00:00:00.000Z,Sachsen,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Thüringen,Pädagogische Hochschulen,Sport,
2019-01-01T00:00:00.000Z,Brandenburg,Pädagogische Hochschulen,"Kunst, Kunstwissenschaft",
2020-01-01T00:00:00.000Z,Baden-Württemberg,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,1928000.0
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Hamburg,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,1497000.0
2020-01-01T00:00:00.000Z,Bremen,Verwaltungsfachhochschulen,Ingenieurwissenschaften,
2022-01-01T00:00:00.000Z,Bremen,Theologische Hochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Bremen,Universitäten (ohne Medizinische Einrichtungen),Sport,0.0
2021-01-01T00:00:00.000Z,Berlin,Theologische Hochschulen,"Kunst, Kunstwissenschaft",
2021-01-01T00:00:00.000Z,Saarland,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2021-01-01T00:00:00.000Z,Niedersachsen,Theologische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Nordrhein-Westfalen,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2020-01-01T00:00:00.000Z,Sachsen,Theologische Hochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Bremen,Fachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.3302E7
2020-01-01T00:00:00.000Z,Bremen,Medizinische Einrichtungen der Universitäten,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Hessen,Theologische Hochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),0.0
2022-01-01T00:00:00.000Z,Brandenburg,Verwaltungsfachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",49000.0
2021-01-01T00:00:00.000Z,Thüringen,Universitäten (ohne Medizinische Einrichtungen),Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Fachhochschulen,"Kunst, Kunstwissenschaft",59000.0
2022-01-01T00:00:00.000Z,Baden-Württemberg,Theologische Hochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Rheinland-Pfalz,Fachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",313000.0
2022-01-01T00:00:00.000Z,Saarland,Theologische Hochschulen,"Kunst, Kunstwissenschaft",
2022-01-01T00:00:00.000Z,Bremen,Universitäten (ohne Medizinische Einrichtungen),Sport,0.0
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Pädagogische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Pädagogische Hochschulen,Sport,
2022-01-01T00:00:00.000Z,Nordrhein-Westfalen,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Verwaltungsfachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2020-01-01T00:00:00.000Z,Baden-Württemberg,Pädagogische Hochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),5913000.0
2020-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Kunst, Kunstwissenschaft",841000.0
2019-01-01T00:00:00.000Z,Sachsen,Medizinische Einrichtungen der Universitäten,"Kunst, Kunstwissenschaft",
2022-01-01T00:00:00.000Z,Bremen,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Sachsen-Anhalt,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",2821000.0
2021-01-01T00:00:00.000Z,Bremen,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Bayern,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,3454000.0
2019-01-01T00:00:00.000Z,Saarland,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Saarland,Universitäten (ohne Medizinische Einrichtungen),Sport,178000.0
2021-01-01T00:00:00.000Z,Bayern,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2019-01-01T00:00:00.000Z,Sachsen,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Sachsen,Fachhochschulen,Ingenieurwissenschaften,2.5547E7
2021-01-01T00:00:00.000Z,Thüringen,Fachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",3701000.0
2020-01-01T00:00:00.000Z,Hessen,Fachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",5702000.0
2019-01-01T00:00:00.000Z,Sachsen-Anhalt,Fachhochschulen,Geisteswissenschaften,1000.0
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Fachhochschulen,"Mathematik, Naturwissenschaften",707000.0
2022-01-01T00:00:00.000Z,Nordrhein-Westfalen,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",3.80931E8
2021-01-01T00:00:00.000Z,Saarland,Verwaltungsfachhochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Hamburg,Medizinische Einrichtungen der Universitäten,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Hamburg,Verwaltungsfachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",775000.0
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Fachhochschulen,Ingenieurwissenschaften,1.3867E7
2019-01-01T00:00:00.000Z,Thüringen,Medizinische Einrichtungen der Universitäten,Geisteswissenschaften,
2021-01-01T00:00:00.000Z,Bremen,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Baden-Württemberg,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.09701E8
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,9.9207E7
2020-01-01T00:00:00.000Z,Saarland,Fachhochschulen,"Mathematik, Naturwissenschaften",
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,56000.0
2022-01-01T00:00:00.000Z,Bremen,Medizinische Einrichtungen der Universitäten,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Baden-Württemberg,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.11808E8
2022-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,Humanmedizin/Gesundheitswissenschaften,
