Jahr,LehrForschungsbereich,Geschlecht,Wert
2019-01-01T00:00:00.000Z,Philosophie,weiblich,592.0
2022-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,männlich,49.0
2021-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),männlich,287.0
2023-01-01T00:00:00.000Z,Rechtswissenschaften,weiblich,2223.0
2022-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,männlich,140.0
2020-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,weiblich,549.0
2020-01-01T00:00:00.000Z,"Kliniken insgesamt, Zentrale Dienste",männlich,695.0
2020-01-01T00:00:00.000Z,Sonstige Sprach- und Kulturwissenschaften,männlich,728.0
2022-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",weiblich,158.0
2019-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),weiblich,2230.0
2021-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,weiblich,410.0
2019-01-01T00:00:00.000Z,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",männlich,1389.0
2022-01-01T00:00:00.000Z,Humanmedizin allgemein,weiblich,658.0
2022-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,weiblich,3423.0
2019-01-01T00:00:00.000Z,Kulturwissenschaften i.e.S.,männlich,252.0
2020-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,männlich,23.0
2020-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,männlich,672.0
2020-01-01T00:00:00.000Z,Erziehungswissenschaften,weiblich,4316.0
2020-01-01T00:00:00.000Z,Geographie,weiblich,808.0
2019-01-01T00:00:00.000Z,"Verkehrstechnik, Nautik",weiblich,223.0
2021-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,männlich,1605.0
2020-01-01T00:00:00.000Z,Geowissenschaften (ohne Geographie),männlich,2079.0
2019-01-01T00:00:00.000Z,Zentralbibliothek,männlich,209.0
2021-01-01T00:00:00.000Z,Allg. und vergl. Literatur- und Sprachwissenschaft,weiblich,1026.0
2020-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",weiblich,287.0
2022-01-01T00:00:00.000Z,Zentralbibliothek,weiblich,261.0
2021-01-01T00:00:00.000Z,Bildende Kunst,weiblich,375.0
2023-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,weiblich,434.0
2020-01-01T00:00:00.000Z,Sonderpädagogik,männlich,
2019-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,männlich,
2019-01-01T00:00:00.000Z,Philosophie,männlich,1076.0
2023-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,weiblich,10.0
2019-01-01T00:00:00.000Z,Politikwissenschaft,männlich,1049.0
2019-01-01T00:00:00.000Z,Vorklinische Veterinärmedizin,männlich,106.0
2023-01-01T00:00:00.000Z,Katholische Theologie,weiblich,378.0
2022-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,männlich,648.0
2023-01-01T00:00:00.000Z,Wirtschaftswissenschaften,männlich,10746.0
2020-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,weiblich,13.0
2023-01-01T00:00:00.000Z,Verwaltungswissenschaften,weiblich,818.0
2019-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,weiblich,370.0
2022-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,männlich,346.0
2021-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,weiblich,510.0
2022-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,weiblich,129.0
2020-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),männlich,283.0
2022-01-01T00:00:00.000Z,Humanmedizin allgemein,männlich,603.0
2022-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,männlich,13282.0
2023-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",männlich,391.0
2021-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,männlich,3.0
2021-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,männlich,4044.0
2021-01-01T00:00:00.000Z,Architektur,weiblich,1119.0
2020-01-01T00:00:00.000Z,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",weiblich,2208.0
2021-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,männlich,1904.0
2020-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,weiblich,112.0
2022-01-01T00:00:00.000Z,Sozialwesen,männlich,1029.0
2019-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",männlich,1579.0
2020-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,weiblich,374.0
2021-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,männlich,391.0
2022-01-01T00:00:00.000Z,Soziale Einrichtungen,männlich,13.0
2019-01-01T00:00:00.000Z,Verwaltungswissenschaften,männlich,1292.0
2021-01-01T00:00:00.000Z,Pharmazie,weiblich,739.0
2021-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",männlich,468.0
2019-01-01T00:00:00.000Z,Sonderpädagogik,weiblich,
2019-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),weiblich,188.0
2020-01-01T00:00:00.000Z,Geschichte,weiblich,1491.0
2023-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",weiblich,1321.0
2020-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),weiblich,2323.0
2022-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,weiblich,1672.0
2020-01-01T00:00:00.000Z,Sozialwesen,männlich,1030.0
2019-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,männlich,1429.0
2023-01-01T00:00:00.000Z,Sport,männlich,1180.0
2019-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,männlich,94.0
2019-01-01T00:00:00.000Z,Romanistik,männlich,420.0
2023-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",männlich,478.0
2019-01-01T00:00:00.000Z,Bauingenieurwesen,männlich,3482.0
2021-01-01T00:00:00.000Z,Regionalwissenschaften,männlich,75.0
2023-01-01T00:00:00.000Z,Hochschulrechenzentrum,weiblich,245.0
2023-01-01T00:00:00.000Z,Sonderpädagogik,männlich,
2023-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,weiblich,187.0
2022-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,männlich,1705.0
2021-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",männlich,419.0
2023-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",weiblich,286.0
2019-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,weiblich,3092.0
2023-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",männlich,391.0
2020-01-01T00:00:00.000Z,Vorklinische Veterinärmedizin,männlich,103.0
2022-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,weiblich,
2019-01-01T00:00:00.000Z,Vermessungswesen,weiblich,165.0
2021-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,weiblich,68.0
2020-01-01T00:00:00.000Z,Sport,männlich,1171.0
2021-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,weiblich,136.0
2022-01-01T00:00:00.000Z,Erziehungswissenschaften,weiblich,4502.0
2023-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft allgemein",männlich,429.0
2019-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,weiblich,743.0
2019-01-01T00:00:00.000Z,Ernährungs- und Haushaltswissenschaften,männlich,197.0
2019-01-01T00:00:00.000Z,Geographie,weiblich,762.0
2021-01-01T00:00:00.000Z,Elektro- und Informationstechnik,weiblich,1483.0
2019-01-01T00:00:00.000Z,Architektur,männlich,1620.0
2022-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",männlich,478.0
2021-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",weiblich,1358.0
2023-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,weiblich,36.0
2021-01-01T00:00:00.000Z,Vorklinische Veterinärmedizin,männlich,108.0
2020-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",männlich,1568.0
2023-01-01T00:00:00.000Z,Allg. und vergl. Literatur- und Sprachwissenschaft,weiblich,965.0
2019-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,weiblich,1600.0
2020-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,männlich,205.0
2020-01-01T00:00:00.000Z,Materialwissenschaft und Werkstofftechnik,männlich,1476.0
2019-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften allgemein",männlich,451.0
2022-01-01T00:00:00.000Z,Katholische Theologie,weiblich,354.0
2023-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),männlich,1093.0
2020-01-01T00:00:00.000Z,Pharmazie,männlich,1003.0
2023-01-01T00:00:00.000Z,Gestaltung,weiblich,774.0
2022-01-01T00:00:00.000Z,"Verkehrstechnik, Nautik",männlich,2201.0
2020-01-01T00:00:00.000Z,Biologie,weiblich,4568.0
2022-01-01T00:00:00.000Z,Veterinärmedizin allgemein,weiblich,12.0
2022-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",männlich,1402.0
2023-01-01T00:00:00.000Z,Geschichte,weiblich,1521.0
2023-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",männlich,677.0
2019-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,männlich,85.0
2022-01-01T00:00:00.000Z,Evangelische Theologie,weiblich,492.0
2021-01-01T00:00:00.000Z,Vermessungswesen,männlich,479.0
2021-01-01T00:00:00.000Z,Raumplanung,männlich,367.0
2021-01-01T00:00:00.000Z,Sozialwesen,weiblich,1704.0
2022-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",weiblich,261.0
2022-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),männlich,2146.0
2020-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",weiblich,1303.0
2020-01-01T00:00:00.000Z,Architektur,männlich,1620.0
2019-01-01T00:00:00.000Z,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),männlich,5603.0
2020-01-01T00:00:00.000Z,Rechtswissenschaften,weiblich,2077.0
2023-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,weiblich,3490.0
2021-01-01T00:00:00.000Z,Geographie,männlich,1046.0
2019-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,weiblich,146.0
2021-01-01T00:00:00.000Z,"Physik, Astronomie",weiblich,2221.0
2019-01-01T00:00:00.000Z,Sport,männlich,1175.0
2022-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,weiblich,163.0
2022-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),weiblich,25501.0
2023-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,männlich,197.0
2020-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",männlich,402.0
2022-01-01T00:00:00.000Z,Mathematik,weiblich,1674.0
2020-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften allgemein",männlich,620.0
2023-01-01T00:00:00.000Z,Geowissenschaften (ohne Geographie),männlich,1893.0
2022-01-01T00:00:00.000Z,Regionalwissenschaften,männlich,72.0
2021-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,weiblich,536.0
2019-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,weiblich,119.0
2019-01-01T00:00:00.000Z,Erziehungswissenschaften,weiblich,4089.0
2020-01-01T00:00:00.000Z,Sozialwesen,weiblich,1640.0
2022-01-01T00:00:00.000Z,Raumplanung,männlich,367.0
2020-01-01T00:00:00.000Z,Medienwissenschaft,weiblich,281.0
2023-01-01T00:00:00.000Z,Gesundheitswissenschaften,weiblich,1607.0
2020-01-01T00:00:00.000Z,Allg. und vergl. Literatur- und Sprachwissenschaft,männlich,643.0
2019-01-01T00:00:00.000Z,Geschichte,weiblich,1459.0
2020-01-01T00:00:00.000Z,Romanistik,männlich,424.0
2020-01-01T00:00:00.000Z,Geschichte,männlich,1866.0
2023-01-01T00:00:00.000Z,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",männlich,382.0
2023-01-01T00:00:00.000Z,Regionalwissenschaften,männlich,78.0
2022-01-01T00:00:00.000Z,Pharmazie,männlich,1053.0
2020-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,männlich,407.0
2023-01-01T00:00:00.000Z,Biologie,männlich,4883.0
2019-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,weiblich,100.0
2023-01-01T00:00:00.000Z,Mathematik,weiblich,1704.0
2022-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,männlich,1886.0
2020-01-01T00:00:00.000Z,Wirtschaftswissenschaften,männlich,11021.0
2020-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,weiblich,361.0
2021-01-01T00:00:00.000Z,Erziehungswissenschaften,weiblich,4371.0
2021-01-01T00:00:00.000Z,Medienwissenschaft,weiblich,300.0
2022-01-01T00:00:00.000Z,Vermessungswesen,männlich,512.0
2019-01-01T00:00:00.000Z,Allg. und vergl. Literatur- und Sprachwissenschaft,männlich,619.0
2022-01-01T00:00:00.000Z,Gestaltung,weiblich,768.0
2023-01-01T00:00:00.000Z,Soziale Einrichtungen,männlich,9.0
2021-01-01T00:00:00.000Z,Geschichte,männlich,1818.0
2020-01-01T00:00:00.000Z,Veterinärmedizin allgemein,männlich,
2019-01-01T00:00:00.000Z,Psychologie,weiblich,3279.0
2023-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,weiblich,129.0
2020-01-01T00:00:00.000Z,"Physik, Astronomie",männlich,9038.0
2023-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",weiblich,395.0
2023-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",weiblich,361.0
2020-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,männlich,146.0
2020-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,weiblich,
2022-01-01T00:00:00.000Z,Romanistik,männlich,426.0
2020-01-01T00:00:00.000Z,Kulturwissenschaften i.e.S.,männlich,226.0
2021-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,weiblich,4083.0
2021-01-01T00:00:00.000Z,Zentralbibliothek,weiblich,249.0
2019-01-01T00:00:00.000Z,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",männlich,385.0
2019-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",weiblich,1280.0
2020-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),weiblich,181.0
2020-01-01T00:00:00.000Z,Bildende Kunst,weiblich,338.0
2022-01-01T00:00:00.000Z,Bildende Kunst,weiblich,396.0
2022-01-01T00:00:00.000Z,Mit der Klinik verbundene u.klinikfremde Einricht.,männlich,25.0
2019-01-01T00:00:00.000Z,Rechtswissenschaften,männlich,3502.0
2022-01-01T00:00:00.000Z,"Verkehrstechnik, Nautik",weiblich,308.0
2020-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,weiblich,1671.0
2023-01-01T00:00:00.000Z,Gestaltung,männlich,983.0
2019-01-01T00:00:00.000Z,Katholische Theologie,männlich,602.0
2021-01-01T00:00:00.000Z,Gestaltung,männlich,994.0
2020-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",weiblich,1328.0
2022-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,weiblich,361.0
2021-01-01T00:00:00.000Z,Rechtswissenschaften,weiblich,2189.0
2021-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,weiblich,1733.0
2020-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",männlich,707.0
2022-01-01T00:00:00.000Z,"Kliniken insgesamt, Zentrale Dienste",männlich,1058.0
2022-01-01T00:00:00.000Z,Sport,männlich,1215.0
2022-01-01T00:00:00.000Z,Biologie,männlich,4960.0
2020-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",männlich,459.0
2021-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",männlich,147.0
2020-01-01T00:00:00.000Z,Vermessungswesen,weiblich,158.0
2021-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),weiblich,2239.0
2020-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,männlich,90.0
2023-01-01T00:00:00.000Z,Medienwissenschaft,weiblich,324.0
2019-01-01T00:00:00.000Z,Veterinärmedizin allgemein,weiblich,5.0
2019-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,weiblich,81.0
2023-01-01T00:00:00.000Z,Vorklinische Humanmedizin (einschl. Zahnmedizin),weiblich,2424.0
2023-01-01T00:00:00.000Z,Informatik,männlich,10600.0
2022-01-01T00:00:00.000Z,Psychologie,männlich,2200.0
2021-01-01T00:00:00.000Z,Geographie,weiblich,813.0
2023-01-01T00:00:00.000Z,Bildende Kunst,weiblich,413.0
2021-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",weiblich,103.0
2022-01-01T00:00:00.000Z,Materialwissenschaft und Werkstofftechnik,weiblich,520.0
2020-01-01T00:00:00.000Z,Evangelische Theologie,männlich,691.0
2021-01-01T00:00:00.000Z,Veterinärmedizin allgemein,weiblich,7.0
2021-01-01T00:00:00.000Z,Gesundheitswissenschaften,weiblich,1430.0
2021-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,weiblich,389.0
2022-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,weiblich,62.0
2020-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen der Kliniken,männlich,30.0
2022-01-01T00:00:00.000Z,Veterinärmedizin allgemein,männlich,1.0
2022-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,weiblich,6.0
2021-01-01T00:00:00.000Z,Soziale Einrichtungen,männlich,11.0
2021-01-01T00:00:00.000Z,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),weiblich,6544.0
2019-01-01T00:00:00.000Z,Geowissenschaften (ohne Geographie),weiblich,1008.0
2021-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,weiblich,313.0
2019-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),männlich,1083.0
2023-01-01T00:00:00.000Z,Wirtschaftswissenschaften,weiblich,6020.0
2022-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",männlich,712.0
2020-01-01T00:00:00.000Z,Humanmedizin allgemein,männlich,471.0
2023-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,weiblich,4353.0
2019-01-01T00:00:00.000Z,"Kliniken insgesamt, Zentrale Dienste",weiblich,793.0
2019-01-01T00:00:00.000Z,Evangelische Theologie,weiblich,473.0
2021-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft allgemein",weiblich,804.0
2019-01-01T00:00:00.000Z,Soziale Einrichtungen,weiblich,13.0
2021-01-01T00:00:00.000Z,Philosophie,männlich,1120.0
2022-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,weiblich,4229.0
2022-01-01T00:00:00.000Z,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),weiblich,6878.0
2021-01-01T00:00:00.000Z,Wirtschaftswissenschaften,männlich,10938.0
2022-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft allgemein",weiblich,824.0
2022-01-01T00:00:00.000Z,Informatik,weiblich,2665.0
2021-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",weiblich,325.0
2020-01-01T00:00:00.000Z,Verwaltungswissenschaften,weiblich,739.0
2022-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",weiblich,335.0
2020-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",weiblich,86.0
2021-01-01T00:00:00.000Z,Politikwissenschaft,weiblich,910.0
2023-01-01T00:00:00.000Z,Architektur,männlich,1642.0
2019-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften allg.",weiblich,72.0
2021-01-01T00:00:00.000Z,Evangelische Theologie,männlich,664.0
2022-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,weiblich,184.0
2020-01-01T00:00:00.000Z,Gesundheitswissenschaften,weiblich,1339.0
2022-01-01T00:00:00.000Z,Kulturwissenschaften i.e.S.,männlich,234.0
2023-01-01T00:00:00.000Z,Philosophie,weiblich,661.0
2021-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,männlich,429.0
2023-01-01T00:00:00.000Z,Architektur,weiblich,1162.0
2019-01-01T00:00:00.000Z,Pharmazie,männlich,1021.0
2021-01-01T00:00:00.000Z,Sport,männlich,1209.0
2019-01-01T00:00:00.000Z,"Verkehrstechnik, Nautik",männlich,1779.0
2021-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",weiblich,155.0
2022-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,männlich,462.0
2021-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",weiblich,1339.0
2023-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,männlich,
2023-01-01T00:00:00.000Z,Pharmazie,weiblich,812.0
2021-01-01T00:00:00.000Z,Biologie,männlich,5017.0
2023-01-01T00:00:00.000Z,Geschichte,männlich,1746.0
2020-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,männlich,212.0
2021-01-01T00:00:00.000Z,Hochschulrechenzentrum,weiblich,242.0
2022-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),männlich,23368.0
2020-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,männlich,343.0
2023-01-01T00:00:00.000Z,Bauingenieurwesen,weiblich,1330.0
2019-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,männlich,89.0
2023-01-01T00:00:00.000Z,Biologie,weiblich,4876.0
2020-01-01T00:00:00.000Z,Architektur,weiblich,1056.0
2021-01-01T00:00:00.000Z,Mathematik,weiblich,1578.0
2022-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,männlich,101.0
2019-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,männlich,226.0
2019-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),männlich,22380.0
2019-01-01T00:00:00.000Z,Humanmedizin allgemein,männlich,337.0
2022-01-01T00:00:00.000Z,Romanistik,weiblich,813.0
2023-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",männlich,437.0
2023-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,männlich,228.0
2023-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),weiblich,1158.0
2023-01-01T00:00:00.000Z,Verwaltungswissenschaften,männlich,1413.0
2022-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",weiblich,285.0
2023-01-01T00:00:00.000Z,Sonstige Sprach- und Kulturwissenschaften,weiblich,827.0
2021-01-01T00:00:00.000Z,Geschichte,weiblich,1480.0
2020-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,weiblich,473.0
2022-01-01T00:00:00.000Z,Kommunikationswissenschaft/Publizistik,weiblich,413.0
2022-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",weiblich,389.0
2022-01-01T00:00:00.000Z,Sonstige Sprach- und Kulturwissenschaften,weiblich,830.0
2019-01-01T00:00:00.000Z,Rechtswissenschaften,weiblich,2047.0
2023-01-01T00:00:00.000Z,Romanistik,weiblich,793.0
2019-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,weiblich,222.0
2023-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),männlich,23696.0
2022-01-01T00:00:00.000Z,Sozialwesen,weiblich,1789.0
2021-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,weiblich,95.0
2021-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),männlich,22923.0
2020-01-01T00:00:00.000Z,Veterinärmedizin allgemein,weiblich,10.0
2020-01-01T00:00:00.000Z,Katholische Theologie,männlich,603.0
2019-01-01T00:00:00.000Z,"Bergbau, Hüttenwesen",männlich,375.0
2023-01-01T00:00:00.000Z,Veterinärmedizin allgemein,männlich,1.0
2022-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,männlich,236.0
2021-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,männlich,97.0
2021-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,weiblich,7.0
2022-01-01T00:00:00.000Z,Geschichte,weiblich,1499.0
2023-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,männlich,102.0
2022-01-01T00:00:00.000Z,Sonderpädagogik,männlich,
2020-01-01T00:00:00.000Z,Raumplanung,männlich,332.0
2020-01-01T00:00:00.000Z,Informatik,weiblich,2223.0
2023-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",männlich,1400.0
2019-01-01T00:00:00.000Z,Katholische Theologie,weiblich,337.0
2019-01-01T00:00:00.000Z,Islamische Studien/Islamische Theologie,weiblich,55.0
2022-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",weiblich,194.0
2021-01-01T00:00:00.000Z,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",männlich,1382.0
2021-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",weiblich,271.0
2021-01-01T00:00:00.000Z,Pharmazie,männlich,1038.0
2023-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,männlich,88.0
2019-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",männlich,712.0
2019-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,weiblich,1955.0
2023-01-01T00:00:00.000Z,Politikwissenschaft,weiblich,872.0
2021-01-01T00:00:00.000Z,Architektur,männlich,1628.0
2019-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,männlich,3645.0
2020-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,weiblich,84.0
2023-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,weiblich,698.0
2020-01-01T00:00:00.000Z,Chemie,weiblich,3544.0
2019-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,männlich,13482.0
2020-01-01T00:00:00.000Z,Hochschulrechenzentrum,männlich,878.0
2020-01-01T00:00:00.000Z,Zentrale Betriebs- und Versorgungseinrichtungen,männlich,89.0
2019-01-01T00:00:00.000Z,Wirtschaftswissenschaften,weiblich,5482.0
2022-01-01T00:00:00.000Z,Philosophie,weiblich,663.0
