Jahr,LehrForschungsbereich,Geschlecht,Wert
2019-01-01T00:00:00.000Z,Verwaltungswissenschaften,weiblich,710.0
2020-01-01T00:00:00.000Z,Klinisch-theoretische Veterinärmedizin,männlich,229.0
2019-01-01T00:00:00.000Z,"Agrarwissensch., Lebensmittel- u. Getränketechnik",weiblich,1337.0
2023-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,männlich,1584.0
2023-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,männlich,1682.0
2021-01-01T00:00:00.000Z,Materialwissenschaft und Werkstofftechnik,männlich,1457.0
2019-01-01T00:00:00.000Z,Ingenieurwissenschaften allgemein,weiblich,617.0
2023-01-01T00:00:00.000Z,Chemie,weiblich,3684.0
2022-01-01T00:00:00.000Z,"Musik, Musikwissenschaft",weiblich,1188.0
2019-01-01T00:00:00.000Z,Elektro- und Informationstechnik,männlich,7865.0
2019-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,weiblich,15.0
2021-01-01T00:00:00.000Z,"Forstwissenschaft, Holzwirtschaft",weiblich,299.0
2022-01-01T00:00:00.000Z,Vorklinische Veterinärmedizin,männlich,110.0
2022-01-01T00:00:00.000Z,Zentrale wissenschaftliche Einrichtungen,männlich,4007.0
2023-01-01T00:00:00.000Z,Sport,weiblich,992.0
2022-01-01T00:00:00.000Z,Soziale Einrichtungen der Kliniken,männlich,4.0
2023-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",männlich,156.0
2019-01-01T00:00:00.000Z,Mathematik,männlich,4650.0
2020-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),männlich,23020.0
2023-01-01T00:00:00.000Z,Informatik,weiblich,2854.0
2020-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",weiblich,306.0
2019-01-01T00:00:00.000Z,Informatik,männlich,8958.0
2023-01-01T00:00:00.000Z,Sozialwesen,männlich,1044.0
2019-01-01T00:00:00.000Z,"Landespflege, Umweltgestaltung",weiblich,237.0
2021-01-01T00:00:00.000Z,Katholische Theologie,männlich,587.0
2019-01-01T00:00:00.000Z,Chemie,männlich,7493.0
2022-01-01T00:00:00.000Z,Wirtschaftswissenschaften,weiblich,5954.0
2019-01-01T00:00:00.000Z,Soziale Einrichtungen,männlich,14.0
2021-01-01T00:00:00.000Z,Maschinenbau/Verfahrenstechnik,männlich,13777.0
2021-01-01T00:00:00.000Z,Philosophie,weiblich,650.0
2022-01-01T00:00:00.000Z,"Anglistik, Amerikanistik",weiblich,1391.0
2019-01-01T00:00:00.000Z,Übrige Ausbildungseinrichtungen,männlich,227.0
2021-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,weiblich,
2022-01-01T00:00:00.000Z,Klinisch-praktische Veterinärmedizin,weiblich,531.0
2021-01-01T00:00:00.000Z,Wirtschaftswissenschaften,weiblich,5871.0
2022-01-01T00:00:00.000Z,Verwaltungswissenschaften,weiblich,794.0
2021-01-01T00:00:00.000Z,Humanmedizin allgemein,männlich,790.0
2023-01-01T00:00:00.000Z,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",männlich,1322.0
2022-01-01T00:00:00.000Z,Informations- und Bibliothekswissenschaften,männlich,79.0
2023-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,weiblich,536.0
2021-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,weiblich,2054.0
2020-01-01T00:00:00.000Z,Zentralbibliothek,männlich,227.0
2019-01-01T00:00:00.000Z,Ernährungs- und Haushaltswissenschaften,weiblich,382.0
2019-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften allgemein",weiblich,276.0
2023-01-01T00:00:00.000Z,Erziehungswissenschaften,weiblich,4535.0
2023-01-01T00:00:00.000Z,Vorklinische Veterinärmedizin,männlich,109.0
2021-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,männlich,1547.0
2019-01-01T00:00:00.000Z,Pharmazie,weiblich,733.0
2020-01-01T00:00:00.000Z,"Physik, Astronomie",weiblich,2118.0
2022-01-01T00:00:00.000Z,Bildende Kunst,männlich,440.0
2019-01-01T00:00:00.000Z,Materialwissenschaft und Werkstofftechnik,weiblich,431.0
2020-01-01T00:00:00.000Z,Sozialwissenschaften/Soziologie,männlich,1601.0
2023-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,weiblich,
2019-01-01T00:00:00.000Z,Zentral verwaltete Hörsäle und Lehrräume,männlich,
2023-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,männlich,634.0
2021-01-01T00:00:00.000Z,Gestaltung,weiblich,738.0
2021-01-01T00:00:00.000Z,Chemie,weiblich,3565.0
2020-01-01T00:00:00.000Z,Regionalwissenschaften,männlich,76.0
2021-01-01T00:00:00.000Z,Psychologie,männlich,2203.0
